,ccd,qid,rcid,field
800000.0,16,1,60,1185
800001.0,3,1,8,1274
800001.0,12,1,44,233
800002.0,7,4,27,281
800002.0,15,3,58,1274
800003.0,5,4,19,1273
800003.0,8,3,30,1274
800003.0,13,3,50,232
800004.0,9,4,35,281
800004.0,12,3,46,282
800005.0,1,4,3,1323
800005.0,4,3,14,1324
800005.0,9,3,34,281
800006.0,6,3,22,1274
800006.0,15,4,59,233
800007.0,14,3,54,1274
800008.0,2,4,7,1273
800008.0,10,3,38,232
800009.0,4,3,14,531
800009.0,9,3,34,1525
800010.0,1,2,1,187
800010.0,10,2,37,1185
800011.0,3,4,11,332
800012.0,5,3,18,1324
800012.0,14,4,55,282
800013.0,3,1,8,1276
800013.0,12,1,44,235
800014.0,4,1,12,1185
800014.0,9,1,32,146
800014.0,12,2,45,147
800015.0,1,2,1,232
800015.0,10,1,36,1227
800016.0,6,2,21,1273
800016.0,15,4,59,232
800017.0,7,4,27,1143
800017.0,14,3,54,108
800018.0,11,2,41,1228
800019.0,2,2,5,1274
800019.0,11,3,42,233
800020.0,6,4,23,1274
800020.0,14,3,54,233
800021.0,5,4,19,1323
800021.0,8,3,30,1324
800021.0,13,3,50,281
800022.0,7,2,25,1429
800022.0,16,2,61,384
800023.0,4,4,15,282
800023.0,13,2,49,233
800024.0,7,3,26,1274
800025.0,3,2,9,281
800025.0,12,4,47,1274
800026.0,2,4,7,186
800026.0,15,1,56,146
800027.0,1,4,3,332
800027.0,4,3,14,333
800028.0,3,4,11,1275
800028.0,11,3,42,234
800029.0,4,2,13,283
800029.0,9,2,33,1275
800030.0,5,1,16,232
800030.0,8,2,29,233
800030.0,13,3,50,1227
800031.0,3,4,11,1324
800031.0,12,4,47,282
800032.0,3,3,10,1274
800032.0,13,1,48,1227
800033.0,2,3,6,1225
800033.0,10,3,38,185
800034.0,3,4,11,1186
800034.0,12,4,47,148
800035.0,6,1,20,1481
800036.0,1,3,2,1169
800036.0,5,2,17,132
800036.0,14,1,52,1131
800037.0,5,3,18,1481
800038.0,3,4,11,1274
800038.0,7,2,25,233
800038.0,16,2,61,1228
800039.0,11,1,40,1374
800040.0,7,1,24,1324
800040.0,15,3,58,282
800041.0,7,3,26,282
800041.0,16,3,62,1275
800042.0,8,4,31,1145
800042.0,16,4,63,110
800043.0,1,1,0,232
800043.0,4,2,13,233
800043.0,9,2,33,1227
800044.0,7,2,25,1636
800044.0,16,1,60,591
800045.0,7,4,27,1274
800045.0,15,3,58,233
800046.0,2,1,4,1077
800046.0,9,4,35,46
800046.0,12,3,46,47
800047.0,2,4,7,232
800047.0,15,1,56,187
800048.0,2,3,6,1227
800048.0,11,4,43,187
800049.0,8,1,28,282
800049.0,13,4,51,1274
800050.0,1,3,2,281
800050.0,10,4,39,1274
800051.0,3,2,9,233
800051.0,12,1,44,1228
800052.0,3,4,11,1324
800052.0,11,3,42,282
800053.0,7,1,24,461
800053.0,14,3,54,1455
800054.0,5,2,17,1321
800054.0,14,1,52,279
800056.0,3,1,8,1274
800056.0,11,2,41,233
800057.0,7,1,24,233
800057.0,15,2,57,1228
800058.0,5,4,19,333
