,ccd,qid,rcid,field
100000.0,3,2,9,282
100000.0,12,2,45,1275
100001.0,1,4,3,1274
100001.0,14,2,53,1228
100002.0,9,2,33,1481
100003.0,5,3,18,232
100003.0,14,4,55,1227
100004.0,8,3,30,233
100004.0,13,3,50,1227
100005.0,11,1,40,1109
100006.0,7,3,26,1320
100007.0,4,2,13,234
100007.0,10,1,36,1228
100008.0,4,4,15,1275
100008.0,9,4,35,233
100008.0,12,3,46,234
100009.0,7,1,24,1274
100009.0,15,3,58,233
100010.0,10,1,36,1144
100011.0,5,1,16,590
100011.0,14,1,52,1586
100012.0,6,1,20,1274
100012.0,14,2,53,233
100013.0,5,2,17,729
100013.0,14,4,55,1728
100014.0,5,3,18,281
100015.0,6,3,22,233
100015.0,15,3,58,1228
100016.0,7,4,27,145
100016.0,14,3,54,1143
100017.0,3,1,8,1323
100017.0,11,3,42,281
100018.0,7,4,27,1274
100019.0,16,3,62,233
100020.0,5,4,19,1273
100020.0,13,3,50,232
100021.0,6,2,21,233
100021.0,15,2,57,1228
100022.0,5,3,18,1274
100022.0,14,4,55,233
100023.0,11,2,41,488
100024.0,6,3,22,832
100024.0,15,4,59,1838
100025.0,11,1,40,1227
100026.0,2,1,4,1107
100026.0,9,1,32,73
100026.0,12,2,45,74
100027.0,6,4,23,330
100027.0,15,4,59,1322
100028.0,3,4,11,1274
100028.0,11,3,42,233
100029.0,2,2,5,1271
100029.0,11,1,40,230
100030.0,7,2,25,1274
100030.0,16,1,60,233
100031.0,1,3,2,1273
100031.0,14,2,53,1227
100032.0,5,4,19,1321
100032.0,13,3,50,279
100033.0,7,3,26,1324
100034.0,8,3,30,1324
100034.0,13,3,50,281
100035.0,3,3,10,186
100035.0,12,4,47,1184
100036.0,7,4,27,1481
100037.0,4,2,13,1769
100037.0,9,1,32,730
100037.0,12,2,45,731
100038.0,10,2,37,281
100039.0,2,4,7,232
100039.0,10,3,38,1227
100040.0,7,1,24,282
100041.0,4,1,12,1274
100041.0,9,4,35,232
100041.0,12,3,46,233
100042.0,6,2,21,233
100042.0,15,1,56,1228
100043.0,4,4,15,1274
100043.0,9,4,35,232
100043.0,12,3,46,233
100044.0,1,4,3,233
100044.0,4,3,14,234
100044.0,9,3,34,1228
100045.0,5,2,17,1325
100045.0,14,1,52,283
100046.0,6,2,21,540
100046.0,15,2,57,1535
100047.0,16,1,60,1228
100048.0,8,1,28,282
100048.0,13,4,51,1274
100048.0,16,3,62,1275
100049.0,12,1,44,1275
100050.0,8,4,31,1274
100050.0,9,1,32,232
100051.0,6,1,20,281
100051.0,14,3,54,1274
100052.0,5,2,17,232
100052.0,14,1,52,1227
100053.0,6,1,20,1227
100053.0,14,3,54,187
100054.0,3,2,9,540
100054.0,9,1,32,1534
100054.0,12,2,45,1535
100055.0,5,4,19,1107
100055.0,8,4,31,1108
100056.0,6,3,22,1323
100056.0,15,3,58,281
100057.0,6,3,22,1183
100057.0,14,4,55,145
100058.0,7,3,26,1323
100058.0,16,4,63,281
100059.0,2,4,7,488
100060.0,3,4,11,1274
100060.0,11,3,42,233
100061.0,7,1,24,1276
100061.0,16,4,63,235
100062.0,13,4,51,282
100062.0,16,3,62,283
100063.0,5,3,18,1324
100063.0,10,2,37,282
100064.0,5,4,19,1274
100064.0,8,3,30,1275
100065.0,5,1,16,281
100065.0,14,1,52,1274
100066.0,5,4,19,107
100066.0,8,3,30,108
100066.0,13,4,51,1108
100066.0,16,3,62,1109
100067.0,9,1,32,233
100068.0,3,1,8,281
100068.0,11,2,41,1274
100069.0,5,3,18,1274
100069.0,14,4,55,233
100070.0,3,3,10,1274
100070.0,12,4,47,233
100071.0,1,1,0,383
100071.0,10,1,36,1376
100072.0,7,3,26,333
100072.0,16,3,62,1325
100073.0,2,4,7,435
100073.0,11,4,43,1429
100073.0,16,1,60,384
100074.0,5,4,19,185
100074.0,8,3,30,186
100074.0,14,4,55,1183
100075.0,4,4,15,1377
100075.0,9,4,35,333
100076.0,7,2,25,1228
100076.0,16,1,60,188
100077.0,3,4,11,1274
100077.0,11,3,42,233
100078.0,4,1,12,1274
100078.0,9,1,32,232
100078.0,12,2,45,233
100079.0,2,2,5,1274
100079.0,11,4,43,233
100080.0,1,4,3,1274
100080.0,10,4,39,233
100081.0,1,4,3,1273
100081.0,9,3,34,232
100082.0,2,1,4,1074
100082.0,11,1,40,44
100083.0,6,3,22,172
100084.0,6,3,22,1274
100084.0,15,4,59,233
100085.0,2,4,7,435
100085.0,15,2,57,384
100086.0,4,4,15,1324
100086.0,9,4,35,281
100087.0,10,3,38,1184
100088.0,2,1,4,281
100088.0,11,1,40,1274
100089.0,5,2,17,1274
100089.0,14,2,53,233
100090.0,2,4,7,233
100090.0,11,4,43,1228
100091.0,7,2,25,282
100091.0,16,1,60,1275
100092.0,4,1,12,282
100092.0,9,1,32,1274
100092.0,12,2,45,1275
100093.0,6,4,23,145
100094.0,3,4,11,332
100094.0,11,3,42,1324
100095.0,4,1,12,134
100096.0,4,1,12,282
100096.0,9,2,33,1274
100097.0,4,3,14,590
100097.0,9,3,34,1585
100098.0,1,1,0,106
100098.0,4,1,12,107
100098.0,12,1,44,1108
100099.0,2,4,7,232
100099.0,10,3,38,1227
100100.0,6,1,20,487
100100.0,15,1,56,1481
100101.0,5,2,17,1228
100101.0,14,4,55,188
100102.0,6,3,22,1274
100102.0,15,4,59,233
100103.0,6,3,22,233
100103.0,15,4,59,1228
100104.0,5,1,16,332
100104.0,8,2,29,333
100104.0,14,1,52,1324
100105.0,6,4,23,281
100106.0,1,3,2,74
100106.0,4,3,14,75
100106.0,13,1,48,47
100106.0,16,2,61,48
100107.0,10,1,36,1274
100108.0,3,3,10,281
100108.0,12,4,47,1274
100109.0,1,3,2,1429
100109.0,10,4,39,384
100110.0,1,2,1,1107
100110.0,4,2,13,1108
100110.0,11,2,41,74
100111.0,15,1,56,233
100112.0,2,4,7,281
100112.0,15,2,57,233
100113.0,1,2,1,232
100113.0,10,1,36,1227
100114.0,11,1,40,1323
100116.0,6,1,20,1273
100116.0,14,3,54,232
100117.0,7,4,27,730
100117.0,15,3,58,1729
100118.0,8,3,30,1534
100119.0,1,3,2,100
100119.0,11,4,43,1102
100120.0,1,4,3,639
100121.0,10,4,39,214
100122.0,2,2,5,729
100122.0,11,1,40,1728
100123.0,7,3,26,1076
100123.0,14,4,55,45
100124.0,7,2,25,233
100124.0,16,4,63,1228
100125.0,5,1,16,1142
100125.0,8,2,29,1143
100125.0,15,3,58,108
100126.0,1,2,1,281
100126.0,10,1,36,1274
100127.0,6,3,22,1232
100127.0,15,3,58,192
100128.0,7,2,25,72
100128.0,15,1,56,1076
100129.0,3,1,8,281
100129.0,12,4,47,1274
100130.0,6,3,22,187
100130.0,15,3,58,1185
100131.0,8,3,30,383
100131.0,13,3,50,1375
100132.0,3,4,11,1143
100132.0,15,1,56,1109
100133.0,6,2,21,113
100133.0,13,4,51,1113
100133.0,16,3,62,1114
100134.0,4,1,12,1378
100134.0,9,3,34,334
100135.0,7,3,26,281
100135.0,16,4,63,1274
100136.0,1,2,1,232
100136.0,10,1,36,1227
100137.0,3,3,10,232
100137.0,12,4,47,1227
100138.0,4,4,15,1227
100138.0,13,2,49,1184
100139.0,7,3,26,185
100139.0,12,1,44,1183
100140.0,5,2,17,1274
100140.0,14,2,53,233
100141.0,4,4,15,1228
100141.0,14,1,52,1185
100142.0,12,1,44,1185
100143.0,2,4,7,1274
100143.0,15,1,56,1228
100144.0,2,3,6,283
100144.0,16,1,60,235
100145.0,9,1,32,1184
100145.0,12,2,45,1185
100146.0,6,4,23,1274
100147.0,3,4,11,234
100147.0,12,4,47,1229
100148.0,3,1,8,1322
100148.0,11,2,41,280
100149.0,1,3,2,1324
100149.0,10,3,38,282
100150.0,2,3,6,330
100150.0,15,2,57,280
100151.0,4,4,15,1376
100151.0,14,1,52,1324
100152.0,2,2,5,768
100152.0,10,2,37,1768
100153.0,7,3,26,1324
100154.0,2,4,7,281
100154.0,15,1,56,233
100155.0,2,4,7,1274
100156.0,10,1,36,187
100157.0,6,3,22,1324
100157.0,15,4,59,282
100158.0,4,1,12,1376
100158.0,9,1,32,332
100158.0,12,2,45,333
100159.0,6,3,22,282
100159.0,15,4,59,1275
100160.0,2,4,7,1226
100160.0,10,4,39,186
100161.0,6,3,22,1144
100161.0,14,4,55,109
100162.0,6,2,21,1274
100162.0,15,2,57,233
100163.0,3,3,10,284
100163.0,12,3,46,1277
100164.0,13,4,51,333
100164.0,16,3,62,334
100165.0,2,3,6,281
100165.0,11,3,42,1274
100166.0,3,2,9,1275
100166.0,12,2,45,234
100167.0,7,4,27,1324
100167.0,15,3,58,282
100168.0,5,4,19,281
100168.0,8,3,30,282
100168.0,13,3,50,1274
100169.0,12,1,44,233
100170.0,6,2,21,1226
100170.0,14,2,53,186
100171.0,1,3,2,281
100171.0,15,1,56,233
100172.0,4,1,12,232
100172.0,9,1,32,1226
100172.0,12,2,45,1227
100173.0,2,3,6,383
100173.0,11,3,42,1376
100174.0,3,1,8,281
100174.0,12,4,47,1274
100175.0,5,3,18,1376
100175.0,14,4,55,333
100176.0,5,2,17,1531
100176.0,14,3,54,485
100177.0,2,4,7,232
100177.0,10,3,38,1227
100178.0,2,3,6,641
100178.0,11,4,43,1638
100179.0,5,1,16,187
100179.0,8,2,29,188
100180.0,4,1,12,282
100180.0,9,2,33,1274
100181.0,2,3,6,431
100182.0,3,4,11,1143
100182.0,10,3,38,108
100183.0,2,1,4,1274
100183.0,10,2,37,233
100184.0,3,3,10,1274
100184.0,12,4,47,233
100185.0,10,2,37,333
100186.0,2,4,7,281
100186.0,10,3,38,1274
100186.0,15,1,56,233
100187.0,1,4,3,332
100187.0,10,4,39,1324
100188.0,2,1,4,1180
100188.0,9,4,35,142
100189.0,10,1,36,233
100190.0,7,2,25,1274
100190.0,16,3,62,233
100191.0,2,1,4,232
100191.0,10,2,37,1227
100192.0,10,1,36,132
100193.0,5,3,18,173
100194.0,6,3,22,214
100194.0,13,3,50,1209
100195.0,7,3,26,234
100195.0,16,3,62,1229
100196.0,7,4,27,1323
100196.0,15,3,58,281
100197.0,4,4,15,1836
100197.0,10,4,39,802
100198.0,5,1,16,281
100198.0,14,4,55,1274
100199.0,7,4,27,1274
100199.0,15,3,58,233
100200.0,1,4,3,331
100200.0,4,3,14,332
100200.0,14,1,52,281
100201.0,5,1,16,232
100201.0,8,2,29,233
100201.0,13,2,49,1227
100202.0,7,2,25,187
100202.0,16,1,60,1185
100203.0,6,3,22,1274
100203.0,15,4,59,233
100204.0,2,1,4,281
100204.0,10,2,37,1274
100205.0,3,3,10,1184
100205.0,11,3,42,146
100206.0,5,3,18,383
100206.0,14,3,54,1376
100207.0,4,2,13,1429
100207.0,9,2,33,383
100208.0,3,2,9,1228
100208.0,12,1,44,188
100209.0,2,3,6,1229
100209.0,11,4,43,189
100210.0,1,4,3,1480
100210.0,10,4,39,435
100211.0,2,1,4,233
100211.0,11,1,40,1228
100212.0,7,3,26,108
100213.0,2,4,7,1227
100213.0,10,3,38,187
100214.0,2,2,5,1227
100214.0,11,4,43,187
100215.0,7,2,25,233
100215.0,16,1,60,1228
100216.0,7,2,25,233
