,ccd,qid,rcid,field
400000.0,7,4,27,1228
400001.0,9,1,32,231
400001.0,12,2,45,232
400002.0,4,1,12,282
400002.0,9,4,35,1274
400002.0,12,3,46,1275
400003.0,11,3,42,1275
400004.0,4,4,15,1324
400004.0,9,4,35,281
400004.0,12,3,46,282
400005.0,3,2,9,72
400005.0,11,4,43,1076
400006.0,7,4,27,233
400006.0,15,3,58,1228
400007.0,3,4,11,1324
400007.0,11,3,42,282
400008.0,6,1,20,282
400008.0,14,2,53,1275
400009.0,3,4,11,1481
400009.0,12,4,47,436
400009.0,13,1,48,1429
400010.0,11,3,42,233
400011.0,6,3,22,1274
400012.0,8,4,31,233
400013.0,4,1,12,1184
400013.0,12,4,47,146
400014.0,2,1,4,281
400014.0,10,2,37,1274
400015.0,3,4,11,281
400015.0,11,3,42,1274
400016.0,2,2,5,232
400016.0,11,1,40,1227
400017.0,5,4,19,282
400017.0,8,3,30,283
400018.0,7,4,27,1274
400018.0,11,2,41,233
400019.0,6,2,21,1273
400019.0,15,1,56,232
400020.0,7,4,27,1274
400021.0,3,3,10,282
400021.0,12,4,47,1275
400022.0,3,4,11,1274
400022.0,12,4,47,233
400023.0,8,4,31,184
400023.0,13,4,51,1181
400024.0,6,4,23,281
400024.0,15,4,59,1274
400025.0,13,1,48,1324
400025.0,16,2,61,1325
400026.0,2,3,6,43
400026.0,9,4,35,1050
400026.0,12,4,47,1051
400027.0,3,4,11,283
400028.0,6,3,22,107
400028.0,14,3,54,1108
400029.0,7,3,26,233
400029.0,12,1,44,1228
400030.0,10,1,36,1324
400031.0,11,2,41,331
400032.0,10,2,37,233
400033.0,2,4,7,1142
400033.0,5,2,17,107
400033.0,8,2,29,108
400033.0,13,2,49,1108
400034.0,1,1,0,1273
400034.0,4,2,13,1274
400034.0,9,2,33,232
400035.0,6,1,20,1272
400035.0,14,2,53,231
400036.0,12,4,47,1076
400037.0,3,3,10,1274
400037.0,12,4,47,233
400037.0,13,1,48,1227
400038.0,16,1,60,146
400039.0,7,4,27,1534
400039.0,16,4,63,488
400040.0,5,3,18,1141
400040.0,16,4,63,107
400041.0,7,1,24,1274
400042.0,2,2,5,1274
400042.0,11,4,43,233
400043.0,5,2,17,1377
400043.0,14,2,53,334
400044.0,8,4,31,188
400044.0,13,3,50,1185
400045.0,2,4,7,1274
400045.0,15,2,57,1228
400046.0,3,4,11,233
400046.0,16,1,60,188
400047.0,5,1,16,107
400047.0,8,2,29,108
400047.0,13,4,51,1108
400048.0,7,2,25,1274
400048.0,16,4,63,233
400049.0,7,1,24,1273
400049.0,15,2,57,232
400050.0,3,3,10,1274
400050.0,12,4,47,233
400051.0,6,2,21,1481
400051.0,15,2,57,436
400052.0,14,2,53,1077
400053.0,5,2,17,281
400053.0,14,1,52,1274
400054.0,5,3,18,1226
400054.0,13,3,50,186
400055.0,5,3,18,383
400055.0,14,3,54,1376
400056.0,6,3,22,1226
400056.0,14,3,54,186
400057.0,5,4,19,1274
400057.0,8,3,30,1275
400057.0,13,3,50,233
400058.0,7,2,25,233
400058.0,16,4,63,1228
400059.0,8,1,28,1101
400059.0,13,2,49,67
400060.0,8,2,29,187
400060.0,13,2,49,1184
400061.0,6,1,20,1274
400062.0,8,4,31,1376
400062.0,13,4,51,332
400062.0,16,3,62,333
400063.0,3,4,11,384
400063.0,11,3,42,1377
400063.0,13,1,48,333
400063.0,16,2,61,334
400064.0,11,1,40,233
400065.0,5,4,19,1183
400065.0,8,3,30,1184
400065.0,13,4,51,145
400065.0,16,3,62,146
400066.0,5,4,19,1274
400066.0,8,3,30,1275
400066.0,13,3,50,233
400067.0,7,2,25,190
400067.0,13,4,51,1187
400068.0,3,1,8,233
400068.0,11,3,42,1228
400069.0,10,2,37,1181
400070.0,5,4,19,232
400070.0,8,3,30,233
400070.0,13,3,50,1227
400071.0,3,4,11,282
400071.0,12,4,47,1275
400072.0,3,4,11,1274
400073.0,2,4,7,1274
400073.0,10,3,38,233
400074.0,3,1,8,1274
400074.0,11,2,41,233
400075.0,7,2,25,1169
400075.0,15,2,57,132
400076.0,2,1,4,686
400076.0,10,2,37,1684
400077.0,7,3,26,328
400077.0,16,4,63,1320
400078.0,4,4,15,1227
400078.0,9,4,35,186
400078.0,12,3,46,187
400079.0,8,1,28,436
400079.0,13,1,48,1429
400080.0,8,1,28,1274
400080.0,16,3,62,233
400081.0,2,2,5,282
400081.0,11,1,40,1275
400082.0,7,3,26,281
400083.0,2,4,7,187
400084.0,2,1,4,1324
400084.0,10,2,37,282
400085.0,3,2,9,1274
400085.0,12,2,45,233
400086.0,1,3,2,1321
400086.0,10,4,39,279
400087.0,7,3,26,1274
400087.0,16,3,62,233
400088.0,3,4,11,232
400088.0,11,3,42,1227
400089.0,10,1,36,1534
400090.0,8,1,28,233
400090.0,13,4,51,1227
400090.0,16,3,62,1228
400091.0,6,1,20,282
400091.0,15,1,56,1275
400092.0,2,3,6,1428
400092.0,11,3,42,383
400093.0,8,4,31,1274
400093.0,16,3,62,233
400094.0,4,2,13,1325
400094.0,9,2,33,282
400095.0,5,4,19,1227
400095.0,8,3,30,1228
400096.0,15,3,58,233
400097.0,8,4,31,282
400097.0,13,4,51,1274
400098.0,6,3,22,1274
400098.0,15,4,59,233
400099.0,7,1,24,1227
400099.0,15,2,57,187
400100.0,2,4,7,281
400100.0,15,1,56,233
400101.0,14,3,54,1227
400102.0,3,4,11,282
400103.0,9,1,32,233
400104.0,9,2,33,1227
400105.0,4,4,15,1139
400105.0,10,3,38,104
400106.0,6,1,20,1274
400106.0,14,2,53,233
400107.0,5,3,18,281
400107.0,14,4,55,1274
400108.0,6,1,20,1323
400108.0,14,2,53,281
400109.0,4,1,12,282
400109.0,9,1,32,1274
400109.0,12,2,45,1275
400110.0,4,1,12,1227
400110.0,12,2,45,187
400111.0,6,3,22,281
400111.0,11,1,40,1274
400112.0,5,1,16,232
400112.0,13,2,49,1227
400113.0,2,3,6,1183
400113.0,14,2,53,1143
400114.0,4,4,15,233
400114.0,9,4,35,1227
400114.0,12,3,46,1228
400115.0,2,1,4,233
400115.0,11,1,40,1228
400116.0,11,2,41,640
400117.0,1,2,1,186
400117.0,10,1,36,1184
400118.0,6,3,22,1376
400118.0,15,4,59,333
400119.0,2,3,6,1323
400120.0,4,1,12,1324
400120.0,9,1,32,281
400120.0,12,2,45,282
400121.0,2,1,4,233
400122.0,5,4,19,281
400122.0,8,3,30,282
400123.0,5,1,16,310
400123.0,8,2,29,311
400123.0,16,1,60,1303
400124.0,3,3,10,309
400124.0,10,3,38,1301
400125.0,5,1,16,1228
400125.0,8,2,29,1229
400125.0,13,3,50,188
400126.0,4,1,12,282
400126.0,9,1,32,1274
400126.0,12,2,45,1275
400127.0,11,2,41,1228
400128.0,1,2,1,280
400128.0,9,2,33,1273
400129.0,7,4,27,281
400129.0,15,3,58,1274
400130.0,9,2,33,51
400131.0,3,4,11,1274
400131.0,11,3,42,233
400132.0,5,3,18,1274
400132.0,14,4,55,233
400133.0,4,4,15,746
400133.0,14,2,53,705
400134.0,5,3,18,485
400134.0,14,4,55,1479
400135.0,11,2,41,233
400136.0,6,1,20,187
400136.0,15,1,56,1185
400137.0,3,1,8,1274
400138.0,6,1,20,216
400138.0,13,2,49,1211
400139.0,8,4,31,234
400139.0,13,4,51,1228
400140.0,1,1,0,233
400140.0,4,2,13,234
400140.0,9,2,33,1228
400141.0,5,4,19,139
400141.0,8,3,30,140
400141.0,15,4,59,1138
400142.0,5,3,18,281
400142.0,14,4,55,1274
400143.0,2,2,5,1323
400143.0,11,1,40,281
400144.0,8,2,29,1228
400144.0,13,1,48,187
400145.0,7,1,24,382
400145.0,16,1,60,1375
400146.0,7,2,25,282
400146.0,16,4,63,1275
400147.0,1,3,2,332
400147.0,10,3,38,1324
400148.0,1,1,0,328
400148.0,4,2,13,329
400148.0,9,3,34,1320
400149.0,1,1,0,186
400149.0,4,2,13,187
400149.0,9,2,33,1184
400150.0,11,2,41,146
400151.0,2,3,6,107
400151.0,10,4,39,1108
400152.0,2,3,6,1324
400152.0,11,4,43,282
400152.0,16,1,60,1275
400153.0,3,2,9,1377
400153.0,9,1,32,333
400153.0,12,2,45,334
400154.0,3,1,8,1142
400154.0,10,1,36,107
400155.0,4,4,15,1324
400155.0,9,4,35,281
400155.0,12,3,46,282
400156.0,1,1,0,1323
400156.0,4,2,13,1324
400156.0,9,2,33,281
400157.0,1,4,3,1226
400157.0,4,3,14,1227
400157.0,14,1,52,1184
400158.0,6,3,22,282
400158.0,15,4,59,1275
400159.0,6,3,22,1227
400159.0,15,4,59,187
400160.0,3,1,8,1274
400161.0,1,3,2,283
400161.0,10,4,39,1276
400162.0,7,2,25,233
400162.0,16,1,60,1228
400163.0,8,3,30,282
400163.0,13,3,50,1274
400164.0,7,3,26,233
400164.0,16,3,62,1228
400165.0,5,3,18,730
400165.0,14,4,55,1729
400166.0,11,2,41,1536
400167.0,4,4,15,187
400167.0,9,4,35,1184
400167.0,12,3,46,1185
400168.0,7,3,26,1323
400168.0,16,3,62,281
400169.0,1,3,2,281
400169.0,6,1,20,1274
400169.0,14,2,53,233
400170.0,10,2,37,282
400171.0,6,2,21,1274
400171.0,15,4,59,233
400172.0,6,2,21,1274
400172.0,15,1,56,233
400173.0,4,1,12,1364
400173.0,12,1,44,321
400174.0,1,1,0,281
400174.0,4,2,13,282
400174.0,9,3,34,1274
400175.0,7,2,25,1228
400175.0,16,1,60,188
400176.0,2,2,5,1226
400177.0,1,4,3,332
400177.0,4,3,14,333
400177.0,9,3,34,1324
400178.0,1,4,3,1226
400178.0,4,3,14,1227
400178.0,9,4,35,186
400179.0,4,4,15,282
400179.0,9,4,35,1274
400180.0,7,3,26,591
400180.0,16,4,63,1587
400181.0,1,4,3,1171
400181.0,4,3,14,1172
400181.0,9,3,34,134
400182.0,3,4,11,333
400182.0,12,4,47,1325
400183.0,5,3,18,1274
400183.0,14,4,55,233
400184.0,7,3,26,1268
400185.0,2,1,4,230
400185.0,10,2,37,1225
400186.0,8,4,31,144
400186.0,15,3,58,1142
400187.0,6,1,20,190
400187.0,15,1,56,1188
400188.0,7,1,24,281
400188.0,16,4,63,1274
400189.0,1,2,1,232
400189.0,10,1,36,1227
400190.0,8,1,28,333
400190.0,13,1,48,1324
400191.0,2,4,7,1585
400191.0,11,4,43,539
400192.0,11,2,41,540
400193.0,3,4,11,331
400193.0,11,3,42,1323
400193.0,16,1,60,281
400194.0,6,1,20,1424
400194.0,14,2,53,379
400195.0,5,1,16,1273
400195.0,13,2,49,232
400196.0,2,4,7,283
400196.0,11,4,43,1276
400197.0,4,4,15,1275
400197.0,9,4,35,233
400198.0,1,4,3,332
400198.0,4,3,14,333
400199.0,3,2,9,1227
400199.0,12,1,44,187
400200.0,2,2,5,1274
400200.0,11,1,40,233
400201.0,7,2,25,234
400201.0,13,1,48,1228
400201.0,16,2,61,1229
400202.0,11,4,43,69
400203.0,7,3,26,729
400203.0,16,4,63,1728
400204.0,6,3,22,1274
400204.0,15,4,59,233
400205.0,1,2,1,145
400205.0,9,2,33,1143
400206.0,6,4,23,1226
400207.0,13,2,49,1376
400208.0,4,1,12,1228
400208.0,9,1,32,187
400208.0,12,2,45,188
400209.0,3,1,8,1324
400210.0,10,1,36,1273
400211.0,6,4,23,1275
400212.0,7,2,25,233
400212.0,16,2,61,1228
400213.0,2,3,6,332
400213.0,11,4,43,1324
400214.0,3,4,11,332
400214.0,8,1,28,1324
400214.0,13,1,48,281
400214.0,16,2,61,282
400215.0,6,3,22,233
400215.0,15,4,59,1228
400216.0,7,1,24,1109
400216.0,14,1,52,75
400217.0,3,2,9,1273
400217.0,12,1,44,232
400218.0,1,2,1,590
400218.0,10,4,39,1586
400219.0,1,1,0,186
400219.0,4,2,13,187
400219.0,9,2,33,1184
400220.0,3,4,11,1273
400220.0,11,3,42,232
400221.0,8,1,28,1274
400221.0,13,4,51,232
400222.0,1,1,0,1273
400223.0,10,2,37,234
400224.0,6,4,23,1274
400225.0,6,1,20,1274
400225.0,14,3,54,233
400226.0,2,2,5,1323
400226.0,11,1,40,281
400227.0,6,1,20,107
400227.0,14,4,55,1108
400228.0,6,4,23,1274
400228.0,14,3,54,233
400229.0,3,4,11,1324
400229.0,11,3,42,282
400230.0,7,2,25,1230
400230.0,16,2,61,190
400231.0,5,4,19,145
400231.0,8,3,30,146
400231.0,16,4,63,1144
400232.0,3,3,10,590
400232.0,13,2,49,539
400233.0,7,2,25,1274
400233.0,16,3,62,233
400234.0,8,3,30,282
400234.0,9,2,33,1274
400235.0,9,2,33,1274
400236.0,8,4,31,1274
400237.0,3,3,10,1428
400237.0,13,2,49,1375
400238.0,5,4,19,331
400238.0,8,3,30,332
400238.0,13,3,50,1323
400239.0,1,1,0,590
400239.0,10,4,39,1586
400240.0,3,1,8,333
400240.0,12,1,44,1325
400241.0,5,4,19,1275
400241.0,8,3,30,1276
400242.0,1,3,2,1227
400242.0,10,4,39,187
400243.0,2,3,6,281
400243.0,15,2,57,233
400244.0,7,2,25,1324
400244.0,16,4,63,282
400245.0,3,1,8,1274
400245.0,11,3,42,233
400246.0,1,1,0,1227
400246.0,4,2,13,1228
400246.0,9,3,34,187
400247.0,1,4,3,280
400247.0,4,3,14,281
400247.0,9,4,35,1273
400248.0,7,3,26,1274
400248.0,16,3,62,233
400249.0,8,4,31,1184
400249.0,16,3,62,146
400250.0,7,3,26,1274
400250.0,16,4,63,233
400251.0,1,3,2,1274
400251.0,15,1,56,1228
400252.0,1,4,3,281
400252.0,4,3,14,282
400252.0,9,3,34,1274
400253.0,3,2,9,1274
400253.0,12,4,47,233
400254.0,4,1,12,1375
400254.0,9,1,32,331
400255.0,8,4,31,1108
400256.0,7,3,26,282
400256.0,16,4,63,1275
400257.0,7,1,24,1274
400258.0,3,3,10,145
400258.0,11,4,43,1143
400259.0,2,2,5,1324
400259.0,11,1,40,282
400260.0,1,4,3,281
400260.0,4,3,14,282
400260.0,9,3,34,1274
400261.0,2,1,4,1274
400261.0,10,2,37,233
400262.0,7,2,25,1274
400262.0,16,1,60,233
400263.0,12,2,45,1535
400264.0,6,3,22,1274
400264.0,15,4,59,233
400265.0,2,2,5,1274
400265.0,11,1,40,233
400266.0,4,4,15,1229
400266.0,9,4,35,188
400266.0,12,3,46,189
400267.0,7,1,24,233
400267.0,16,1,60,1228
400268.0,3,1,8,232
400268.0,11,2,41,1227
400269.0,8,3,30,1274
400269.0,13,3,50,232
400270.0,8,1,28,1227
400270.0,16,2,61,187
400271.0,7,3,26,1323
400271.0,16,4,63,281
400272.0,6,4,23,1273
400272.0,15,4,59,232
400273.0,10,3,38,1227
400274.0,8,1,28,232
400274.0,13,4,51,1226
400274.0,16,3,62,1227
400275.0,6,1,20,1429
400275.0,15,1,56,384
400276.0,4,1,12,334
400276.0,9,1,32,1325
400276.0,12,2,45,1326
400277.0,4,1,12,1376
400277.0,9,1,32,332
400278.0,3,2,9,1274
400278.0,12,1,44,233
400279.0,1,3,2,435
400279.0,10,4,39,1429
400280.0,5,2,17,232
400280.0,14,1,52,1227
400281.0,1,2,1,383
400281.0,10,2,37,1376
400282.0,2,4,7,332
400282.0,15,2,57,282
400283.0,11,3,42,1228
400284.0,5,4,19,280
400284.0,13,3,50,1273
400285.0,4,4,15,1275
400285.0,9,4,35,233
400285.0,12,3,46,234
400286.0,7,1,24,281
400286.0,16,1,60,1274
400287.0,1,1,0,1422
400287.0,4,2,13,1423
400287.0,9,3,34,377
400288.0,3,2,9,1274
400288.0,12,1,44,233
400289.0,3,4,11,1376
400289.0,12,4,47,333
400290.0,1,1,0,1274
400290.0,4,2,13,1275
400290.0,9,2,33,233
400291.0,8,4,31,282
400292.0,4,1,12,187
400292.0,9,1,32,1184
400292.0,12,2,45,1185
400293.0,1,2,1,281
400293.0,10,1,36,1274
400294.0,7,2,25,281
400294.0,16,3,62,1274
400295.0,10,2,37,1226
400296.0,14,3,54,188
400297.0,5,1,16,1273
400297.0,14,1,52,232
400298.0,1,2,1,281
400298.0,10,1,36,1274
400299.0,2,3,6,143
400299.0,16,2,61,107
400300.0,15,2,57,232
400301.0,1,3,2,281
400301.0,10,4,39,1274
400302.0,5,3,18,383
400302.0,14,3,54,1376
400303.0,7,1,24,436
400303.0,16,1,60,1430
400304.0,5,1,16,186
400304.0,8,2,29,187
400304.0,13,3,50,1184
400305.0,6,1,20,1274
400305.0,15,1,56,233
400306.0,6,1,20,1265
400306.0,14,4,55,224
400307.0,3,2,9,1274
400307.0,12,1,44,233
400308.0,6,3,22,1274
400308.0,15,3,58,233
400309.0,14,3,54,1376
400310.0,2,1,4,281
400310.0,10,2,37,1274
400311.0,1,3,2,281
400311.0,14,2,53,233
400312.0,5,4,19,186
400312.0,8,3,30,187
400313.0,1,1,0,281
400313.0,4,2,13,282
400313.0,9,2,33,1274
400314.0,1,4,3,637
400314.0,10,4,39,1634
400315.0,3,2,9,1109
400315.0,10,2,37,75
400316.0,4,4,15,1185
