,ccd,qid,rcid,field
300000.0,2,1,4,333
300000.0,10,3,38,1325
300001.0,12,1,44,1528
300002.0,2,2,5,282
300002.0,11,2,41,1275
300003.0,7,3,26,232
300003.0,16,4,63,1227
300004.0,5,1,16,232
300004.0,8,2,29,233
300004.0,13,3,50,1227
300005.0,6,3,22,1105
300005.0,16,4,63,72
300006.0,9,2,33,1275
300007.0,6,3,22,233
300007.0,15,4,59,1228
300008.0,13,1,48,1228
300008.0,16,2,61,1229
300009.0,2,4,7,281
300009.0,10,3,38,1274
300010.0,4,2,13,1275
300010.0,9,2,33,233
300011.0,10,3,38,1274
300012.0,8,4,31,328
300012.0,16,3,62,1320
300013.0,9,4,35,1274
300013.0,12,3,46,1275
300014.0,12,3,46,1274
300015.0,11,3,42,1228
300016.0,13,4,51,1110
300016.0,16,3,62,1111
300017.0,1,1,0,187
300018.0,7,4,27,1274
300019.0,7,3,26,1228
300019.0,16,4,63,188
300020.0,3,3,10,1324
300020.0,12,3,46,282
300021.0,6,1,20,1108
300021.0,13,1,48,74
300021.0,16,2,61,75
300022.0,5,4,19,281
300022.0,14,4,55,1274
300023.0,1,1,0,1227
300023.0,4,2,13,1228
300023.0,9,3,34,187
300024.0,6,1,20,1274
300025.0,2,1,4,1077
300025.0,9,4,35,46
300025.0,12,4,47,47
300026.0,6,2,21,1274
300026.0,15,3,58,233
300027.0,11,3,42,232
300028.0,10,2,37,1324
300029.0,6,2,21,1274
300029.0,15,2,57,233
300030.0,6,2,21,1274
300030.0,15,1,56,233
300031.0,6,3,22,1227
300032.0,3,4,11,281
300032.0,11,3,42,1274
300033.0,8,1,28,1210
300033.0,15,2,57,171
300034.0,2,1,4,232
300034.0,10,2,37,1227
300035.0,5,2,17,1377
300035.0,14,2,53,334
300036.0,11,2,41,488
300037.0,6,2,21,1229
300037.0,15,2,57,189
300038.0,1,3,2,281
300038.0,10,4,39,1274
300039.0,6,4,23,145
300040.0,3,3,10,1274
300040.0,12,4,47,233
300041.0,6,4,23,1481
300041.0,15,4,59,436
300042.0,7,4,27,146
300043.0,6,3,22,281
300043.0,15,4,59,1274
300044.0,4,3,14,1323
300044.0,9,3,34,280
300045.0,8,2,29,1274
300045.0,13,1,48,232
300046.0,7,3,26,187
300046.0,9,1,32,1184
300046.0,12,2,45,1185
300047.0,2,2,5,1324
300047.0,11,1,40,282
300048.0,7,3,26,1322
300048.0,16,4,63,280
300049.0,3,3,10,43
300049.0,9,3,34,1050
300050.0,4,3,14,282
300050.0,9,3,34,1274
300051.0,3,3,10,332
300051.0,12,4,47,1324
300052.0,8,1,28,189
300052.0,13,2,49,1186
300053.0,3,4,11,1323
300053.0,16,1,60,1274
300054.0,2,1,4,1323
300054.0,10,3,38,281
300055.0,8,4,31,1275
300055.0,13,3,50,233
300056.0,2,3,6,1276
300056.0,11,3,42,235
300056.0,16,2,61,1230
300057.0,5,4,19,1839
300057.0,12,1,44,807
300058.0,6,2,21,1274
300058.0,15,1,56,233
300059.0,1,2,1,1324
300059.0,10,2,37,282
