,ccd,qid,rcid,field
254633.0,2,3,6,1322
254633.0,11,4,43,280
254634.0,2,1,4,72
254634.0,9,2,33,1076
254635.0,2,2,5,147
254635.0,10,2,37,1145
254636.0,1,4,3,1375
254636.0,4,3,14,1376
254636.0,14,2,53,1324
254637.0,7,3,26,1429
254637.0,16,3,62,384
254638.0,12,2,45,1275
254639.0,7,4,27,1275
254639.0,16,4,63,234
254640.0,5,4,19,186
254640.0,8,3,30,187
254641.0,2,4,7,332
254642.0,2,4,7,186
254642.0,11,4,43,1184
254643.0,7,3,26,485
254643.0,16,3,62,1479
254644.0,6,4,23,1226
254645.0,15,3,58,282
254646.0,8,1,28,186
254646.0,13,1,48,1183
254646.0,16,2,61,1184
254647.0,12,2,45,233
254648.0,1,1,0,1480
254648.0,4,2,13,1481
254648.0,9,2,33,435
254649.0,6,2,21,1274
254649.0,15,1,56,233
254650.0,2,1,4,145
254650.0,9,2,33,1143
254651.0,5,1,16,213
254651.0,8,2,29,214
254651.0,16,1,60,1209
254652.0,3,4,11,332
254652.0,13,1,48,281
254652.0,16,2,61,282
254653.0,6,4,23,1376
254653.0,10,2,37,333
254654.0,12,1,44,233
254655.0,2,1,4,1324
254656.0,6,2,21,1275
254656.0,15,1,56,234
254657.0,16,2,61,1228
254658.0,5,4,19,1322
254658.0,8,3,30,1323
254659.0,10,2,37,1324
254660.0,7,2,25,1228
254660.0,16,4,63,188
254661.0,1,2,1,230
254661.0,9,2,33,1225
254662.0,15,1,56,1227
254663.0,4,4,15,281
254663.0,12,3,46,1274
254664.0,5,3,18,1376
254665.0,5,3,18,280
254665.0,14,4,55,1273
254666.0,4,1,12,282
254666.0,9,1,32,1274
254666.0,12,2,45,1275
254667.0,3,1,8,1274
254667.0,11,2,41,233
254668.0,3,2,9,147
254668.0,12,4,47,1145
254669.0,1,4,3,1101
254669.0,4,3,14,1102
254669.0,10,4,39,68
254670.0,11,1,40,233
254671.0,1,3,2,1324
254671.0,10,3,38,282
254672.0,4,2,13,1769
254672.0,9,1,32,730
254672.0,12,1,44,731
254673.0,14,3,54,1051
254674.0,5,1,16,1324
254674.0,14,4,55,282
254675.0,5,3,18,232
254675.0,14,4,55,1227
254676.0,6,2,21,281
254676.0,15,2,57,1274
254677.0,10,1,36,233
254678.0,1,3,2,280
254679.0,15,1,56,1836
254680.0,7,3,26,1324
254680.0,16,3,62,282
254681.0,11,2,41,1274
254682.0,10,3,38,1274
254683.0,6,4,23,283
