,ccd,qid,rcid,field
600000.0,3,4,11,1104
600000.0,5,1,16,70
600000.0,8,2,29,71
600000.0,15,2,57,1075
600001.0,2,4,7,1323
600001.0,10,3,38,281
600002.0,6,1,20,185
600002.0,14,2,53,1183
600003.0,6,3,22,281
600003.0,15,4,59,1274
600004.0,1,1,0,1107
600004.0,4,1,12,1108
600004.0,11,2,41,74
600005.0,7,2,25,1378
600005.0,16,3,62,335
600006.0,5,4,19,281
600006.0,14,4,55,1274
600007.0,5,2,17,1226
600007.0,13,2,49,186
600008.0,5,4,19,281
600009.0,6,1,20,1274
600009.0,14,2,53,233
600010.0,1,2,1,380
600010.0,10,2,37,1373
600011.0,8,3,30,233
600012.0,7,2,25,1105
600013.0,2,1,4,384
600013.0,10,2,37,1377
600014.0,6,2,21,1184
600014.0,15,1,56,146
600015.0,6,2,21,1274
600015.0,15,2,57,233
600016.0,7,1,24,1274
600016.0,15,2,57,233
600017.0,6,3,22,598
600017.0,15,4,59,1594
600018.0,6,1,20,1274
600018.0,14,2,53,233
600019.0,4,3,14,436
600019.0,9,3,34,1429
600020.0,10,4,39,231
600021.0,3,3,10,1227
600021.0,8,1,28,187
600021.0,13,1,48,1184
600021.0,16,2,61,1185
600022.0,7,4,27,1274
600023.0,2,3,6,1210
600023.0,10,4,39,171
600024.0,6,2,21,1274
600024.0,15,1,56,233
600025.0,1,2,1,281
600025.0,10,1,36,1274
600026.0,2,4,7,187
600026.0,15,2,57,147
600027.0,6,3,22,1274
600027.0,15,4,59,233
600028.0,5,2,17,107
600028.0,8,2,29,108
600028.0,13,3,50,1108
600029.0,3,2,9,1429
600029.0,12,4,47,384
600030.0,6,3,22,1274
600030.0,15,4,59,233
600031.0,1,1,0,1274
600031.0,4,2,13,1275
600031.0,9,2,33,233
600032.0,6,3,22,1323
600032.0,15,3,58,281
600033.0,2,2,5,281
600033.0,11,1,40,1274
600034.0,2,4,7,232
600034.0,15,1,56,187
600035.0,1,4,3,379
600035.0,10,3,38,1372
600036.0,2,2,5,187
600036.0,11,2,41,1185
600037.0,6,1,20,282
600037.0,14,2,53,1275
600038.0,9,1,32,232
600039.0,1,3,2,186
600039.0,10,3,38,1184
600040.0,8,4,31,146
600041.0,7,1,24,69
600041.0,13,3,50,1073
600042.0,1,1,0,584
600042.0,11,4,43,1580
600043.0,2,1,4,282
600043.0,10,2,37,1275
600044.0,1,1,0,1428
600044.0,10,1,36,383
600045.0,6,4,23,1107
600045.0,13,4,51,73
600045.0,16,3,62,74
600046.0,1,1,0,382
600046.0,4,2,13,383
600046.0,10,1,36,1375
600047.0,11,2,41,233
600048.0,2,2,5,1228
600048.0,11,1,40,188
600049.0,8,1,28,282
600049.0,13,1,48,1274
600050.0,2,4,7,487
600050.0,11,4,43,1481
600051.0,5,4,19,332
600052.0,9,4,35,1324
600052.0,12,3,46,1325
600053.0,7,4,27,187
600053.0,15,3,58,1185
600054.0,3,3,10,1274
600054.0,12,4,47,233
600055.0,1,1,0,282
600055.0,4,2,13,283
600056.0,1,3,2,281
600056.0,10,4,39,1274
600057.0,5,3,18,186
600057.0,14,3,54,1184
600058.0,5,2,17,232
600058.0,14,1,52,1227
600059.0,3,1,8,1481
600059.0,12,1,44,436
600060.0,8,4,31,1227
600060.0,16,3,62,187
600061.0,16,2,61,1324
600062.0,5,3,18,1227
600062.0,14,4,55,187
600063.0,6,3,22,1188
600063.0,16,4,63,150
600064.0,8,4,31,1274
600064.0,13,4,51,232
600065.0,8,1,28,233
600065.0,13,4,51,1227
600066.0,9,2,33,639
600067.0,10,1,36,1274
600068.0,8,2,29,383
600068.0,13,2,49,1375
600069.0,3,3,10,1226
600070.0,7,3,26,188
600070.0,13,4,51,1185
600070.0,16,3,62,1186
600071.0,6,3,22,1274
600071.0,15,4,59,233
600072.0,3,4,11,281
600072.0,11,3,42,1274
600073.0,1,1,0,1322
600074.0,2,1,4,281
600074.0,10,2,37,1274
600075.0,6,1,20,187
600075.0,15,1,56,1185
600076.0,6,3,22,1184
600076.0,14,3,54,146
600077.0,6,2,21,223
600077.0,14,2,53,1218
