,ccd,qid,rcid,field
900000.0,7,4,27,233
900000.0,15,3,58,1228
900001.0,12,3,46,233
900002.0,10,2,37,1227
900003.0,7,3,26,1274
900004.0,5,4,19,232
900004.0,8,3,30,233
900004.0,13,3,50,1227
900005.0,6,2,21,232
900005.0,15,1,56,1227
900006.0,8,4,31,189
900006.0,13,3,50,1186
900007.0,8,4,31,1534
900007.0,13,4,51,487
900008.0,1,4,3,281
900008.0,4,3,14,282
900008.0,14,2,53,233
900009.0,4,4,15,282
900009.0,9,4,35,1274
900009.0,12,3,46,1275
900010.0,6,1,20,1723
900011.0,8,4,31,434
900011.0,13,4,51,1427
900012.0,2,3,6,281
900012.0,11,4,43,1274
900013.0,3,4,11,1323
900013.0,12,4,47,281
900014.0,5,4,19,108
900014.0,8,3,30,109
900014.0,13,3,50,1109
900015.0,11,2,41,383
900016.0,5,1,16,1324
900016.0,8,2,29,1325
900016.0,13,2,49,282
900017.0,3,2,9,234
900017.0,12,2,45,1229
900018.0,2,3,6,1107
900018.0,9,3,34,73
900018.0,12,3,46,74
900019.0,2,3,6,232
900019.0,15,2,57,187
900020.0,3,3,10,282
900020.0,13,1,48,233
900021.0,1,2,1,281
900021.0,10,1,36,1274
900022.0,6,3,22,1274
900022.0,15,4,59,233
900023.0,6,3,22,1273
900023.0,15,4,59,232
900024.0,8,1,28,282
900024.0,13,1,48,1274
900025.0,6,1,20,188
900025.0,15,1,56,1186
900026.0,6,2,21,233
900026.0,15,2,57,1228
900027.0,2,1,4,1226
900027.0,10,1,36,186
900028.0,11,2,41,1274
900029.0,6,4,23,72
900030.0,7,2,25,1274
900030.0,16,4,63,233
900031.0,9,2,33,1227
900032.0,5,3,18,232
900032.0,14,4,55,1227
900033.0,1,2,1,1323
900033.0,10,1,36,281
900034.0,2,3,6,232
900034.0,11,4,43,1227
900035.0,1,4,3,106
900035.0,4,3,14,107
900035.0,9,4,35,1107
900035.0,12,3,46,1108
900036.0,7,4,27,1429
900036.0,16,4,63,384
900037.0,2,2,5,1274
900037.0,11,1,40,233
900038.0,3,1,8,1274
900039.0,3,3,10,281
900039.0,12,4,47,1274
900040.0,6,1,20,1227
900040.0,14,2,53,187
900041.0,15,1,56,233
900042.0,3,2,9,1274
900042.0,12,1,44,233
900043.0,5,3,18,145
900043.0,13,4,51,1143
900044.0,1,2,1,1227
900044.0,10,1,36,187
900045.0,1,4,3,281
900045.0,4,3,14,282
900045.0,9,3,34,1274
900046.0,6,2,21,1274
900046.0,15,2,57,233
900047.0,1,1,0,1481
900047.0,10,1,36,436
900048.0,15,1,56,1109
900049.0,2,4,7,1142
900049.0,5,1,16,107
900049.0,8,2,29,108
900049.0,13,1,48,1108
900050.0,7,2,25,1274
900050.0,16,1,60,233
900051.0,3,4,11,1274
900051.0,16,2,61,1228
900052.0,7,2,25,281
900052.0,16,1,60,1274
900053.0,1,2,1,1323
900053.0,10,1,36,281
900054.0,1,4,3,539
900054.0,10,4,39,1534
900055.0,8,1,28,1227
900055.0,13,1,48,186
900055.0,16,2,61,187
900056.0,5,2,17,71
900056.0,8,2,29,72
900056.0,16,1,60,1076
900057.0,5,1,16,146
900057.0,8,2,29,147
900057.0,13,1,48,1144
900057.0,16,2,61,1145
900058.0,4,4,15,1274
900058.0,9,4,35,232
900058.0,12,3,46,233
900059.0,5,3,18,488
900059.0,14,3,54,1482
900060.0,1,2,1,435
900060.0,10,2,37,1429
900061.0,5,1,16,145
900061.0,8,2,29,146
900061.0,16,2,61,1144
900062.0,1,2,1,330
900062.0,10,1,36,1322
900063.0,1,4,3,279
900063.0,4,3,14,280
900063.0,9,4,35,1272
900064.0,6,4,23,1274
900064.0,14,3,54,233
900065.0,3,1,8,281
900065.0,11,2,41,1274
900066.0,2,1,4,281
900066.0,10,3,38,1274
900067.0,2,1,4,232
900067.0,10,3,38,1227
900068.0,2,4,7,1274
900068.0,10,3,38,233
900069.0,3,4,11,1227
900069.0,7,2,25,187
900069.0,16,1,60,1185
900070.0,3,1,8,282
900070.0,12,1,44,1275
900071.0,15,3,58,1275
900072.0,7,1,24,1275
900073.0,2,2,5,1274
900073.0,11,2,41,233
900074.0,7,3,26,1277
900074.0,16,3,62,236
900075.0,3,1,8,281
900075.0,11,2,41,1274
900076.0,1,3,2,331
900076.0,6,1,20,1323
900076.0,14,2,53,281
900077.0,2,2,5,281
900077.0,11,4,43,1274
900078.0,5,1,16,233
900078.0,8,2,29,234
900078.0,13,3,50,1228
900079.0,9,1,32,282
900079.0,12,2,45,283
900080.0,7,1,24,1227
900080.0,15,2,57,187
900081.0,6,2,21,1274
900081.0,15,2,57,233
900082.0,6,1,20,1142
900082.0,13,1,48,107
900083.0,15,2,57,1274
900084.0,6,4,23,1324
900084.0,14,3,54,282
900085.0,14,2,53,1184
900086.0,6,2,21,1274
900086.0,15,4,59,233
900087.0,6,2,21,233
900087.0,15,4,59,1228
900088.0,5,2,17,281
900088.0,14,4,55,1274
900089.0,5,1,16,332
900089.0,8,2,29,333
900090.0,4,1,12,1352
900090.0,11,1,40,309
900091.0,10,2,37,281
900092.0,8,1,28,233
900092.0,13,1,48,1227
900093.0,6,2,21,1227
900094.0,15,3,58,233
900095.0,4,4,15,281
900095.0,13,2,49,232
900096.0,1,4,3,359
900096.0,12,4,47,1352
900097.0,11,1,40,233
900098.0,13,4,51,1179
900098.0,16,3,62,1180
900099.0,5,3,18,1227
900100.0,5,2,17,590
900100.0,14,1,52,1586
900101.0,1,2,1,435
900101.0,10,2,37,1429
900102.0,3,4,11,384
900102.0,12,4,47,1377
900103.0,7,2,25,384
900103.0,16,1,60,1377
900104.0,7,3,26,283
900105.0,7,4,27,1274
900105.0,15,3,58,233
900106.0,6,2,21,232
900106.0,15,4,59,1227
900107.0,6,2,21,1227
900107.0,15,4,59,187
900108.0,7,1,24,1274
900108.0,15,2,57,233
900109.0,5,1,16,383
900109.0,14,1,52,1376
900110.0,1,2,1,1274
900110.0,10,1,36,233
900111.0,5,4,19,233
900111.0,8,3,30,234
900111.0,14,4,55,1228
900112.0,10,1,36,1227
900113.0,12,1,44,282
900114.0,2,1,4,1322
900114.0,10,3,38,280
900115.0,2,4,7,383
900115.0,15,2,57,333
900116.0,7,2,25,1376
900116.0,16,3,62,333
900117.0,6,4,23,233
900117.0,15,4,59,1228
900118.0,7,2,25,281
900118.0,16,4,63,1274
900119.0,2,2,5,232
900119.0,11,4,43,1227
900120.0,1,2,1,281
900120.0,10,4,39,1274
900121.0,1,1,0,1273
900121.0,4,2,13,1274
900121.0,9,3,34,232
900122.0,6,2,21,1274
900122.0,15,4,59,233
900123.0,2,1,4,71
900123.0,9,1,32,1075
900123.0,12,2,45,1076
900124.0,12,1,44,1227
900125.0,7,2,25,1274
900125.0,16,1,60,233
900126.0,6,2,21,384
900126.0,15,2,57,1377
900127.0,2,4,7,1479
900127.0,11,4,43,434
900128.0,2,1,4,1322
900128.0,11,1,40,280
900129.0,6,2,21,1144
900130.0,1,4,3,1272
900130.0,9,3,34,231
900131.0,6,2,21,281
900131.0,15,2,57,1274
900132.0,7,2,25,1274
900132.0,16,4,63,233
900133.0,1,1,0,1428
900133.0,10,4,39,383
900134.0,4,4,15,770
900134.0,7,2,25,1770
900134.0,15,1,56,732
900135.0,8,2,29,1228
900135.0,13,1,48,187
900136.0,2,3,6,1376
900136.0,11,3,42,333
900137.0,2,1,4,1375
900137.0,10,2,37,332
900138.0,8,3,30,1102
900139.0,15,1,56,1110
900140.0,2,4,7,281
900140.0,15,2,57,233
900141.0,4,4,15,1276
900141.0,9,3,34,234
900142.0,6,3,22,281
900142.0,15,4,59,1274
900143.0,5,3,18,1330
900143.0,10,2,37,288
900144.0,8,1,28,1227
900144.0,13,1,48,186
900144.0,16,2,61,187
900145.0,7,1,24,1227
900145.0,15,3,58,187
900146.0,2,1,4,332
900147.0,7,4,27,1274
900147.0,15,3,58,233
900148.0,12,2,45,1274
900149.0,14,3,54,1324
900150.0,2,4,7,383
900150.0,11,4,43,1376
900151.0,12,3,46,233
900152.0,7,1,24,1143
900152.0,14,3,54,108
900153.0,7,3,26,233
900153.0,16,4,63,1228
900154.0,1,1,0,232
900154.0,4,2,13,233
900154.0,9,2,33,1227
900155.0,5,2,17,146
900155.0,13,2,49,1144
900156.0,6,3,22,281
900157.0,1,4,3,767
900157.0,5,2,17,1767
900157.0,14,1,52,729
900158.0,6,4,23,1273
900159.0,2,1,4,281
900159.0,10,3,38,1274
900160.0,2,3,6,281
900160.0,11,4,43,1274
900161.0,3,4,11,1274
900161.0,7,2,25,233
900161.0,16,2,61,1228
900162.0,8,2,29,1228
900162.0,13,1,48,187
900163.0,7,3,26,1274
900163.0,12,1,44,233
900164.0,5,1,16,1323
900164.0,8,2,29,1324
900165.0,4,4,15,1481
900165.0,14,1,52,1429
900166.0,7,1,24,232
900166.0,15,2,57,1227
900167.0,4,1,12,282
900167.0,9,1,32,1274
900167.0,12,2,45,1275
900168.0,12,1,44,282
900169.0,6,2,21,329
900169.0,15,1,56,1321
900170.0,15,3,58,233
900171.0,5,4,19,687
900171.0,8,3,30,688
900171.0,13,3,50,1685
900172.0,5,4,19,233
900172.0,9,2,33,1228
900173.0,3,1,8,1272
900173.0,11,3,42,231
900174.0,5,4,19,487
900174.0,8,3,30,488
900174.0,13,3,50,1481
900175.0,5,4,19,147
900175.0,8,3,30,148
900176.0,1,2,1,281
900176.0,10,4,39,1274
900177.0,1,1,0,1226
900177.0,4,2,13,1227
900177.0,9,4,35,186
900178.0,6,4,23,1767
900178.0,14,3,54,729
900179.0,3,1,8,1076
900179.0,10,4,39,45
900180.0,5,2,17,1274
900180.0,14,4,55,233
900181.0,7,3,26,281
900182.0,6,4,23,1274
900182.0,14,3,54,233
900183.0,7,3,26,281
900184.0,1,1,0,336
900184.0,4,2,13,337
900184.0,10,1,36,1328
900185.0,5,2,17,281
900185.0,14,3,54,1274
900186.0,6,1,20,1274
900186.0,15,1,56,233
900187.0,6,1,20,1274
900187.0,14,3,54,233
900188.0,4,1,12,1274
900188.0,12,2,45,233
900189.0,6,4,23,228
900189.0,14,3,54,1223
900190.0,7,1,24,233
900190.0,16,1,60,1228
900191.0,4,4,15,1228
900191.0,9,4,35,187
900192.0,4,3,14,1273
900192.0,9,4,35,231
900193.0,7,4,27,1375
900193.0,11,2,41,332
900194.0,7,3,26,1275
900194.0,16,3,62,234
900195.0,8,1,28,1276
900195.0,13,1,48,234
900196.0,7,4,27,234
900196.0,16,4,63,1229
900197.0,7,4,27,233
900197.0,15,3,58,1228
900198.0,6,1,20,1274
900198.0,14,3,54,233
900199.0,12,1,44,187
900200.0,3,2,9,1323
900200.0,12,1,44,281
900201.0,16,4,63,186
900202.0,6,3,22,1274
900202.0,15,4,59,233
900203.0,3,4,11,105
900203.0,10,3,38,1106
900204.0,4,4,15,1325
900204.0,9,4,35,282
900205.0,8,1,28,332
900205.0,13,2,49,1323
900206.0,6,4,23,232
900206.0,14,3,54,1227
900207.0,4,4,15,1376
900207.0,9,4,35,332
900207.0,12,3,46,333
900208.0,4,3,14,332
900208.0,5,2,17,1323
900208.0,14,1,52,281
900209.0,2,1,4,1323
900210.0,7,1,24,1274
900210.0,15,2,57,233
900211.0,1,2,1,281
900211.0,10,1,36,1274
900212.0,1,4,3,1274
900212.0,4,3,14,1275
900212.0,9,3,34,233
900213.0,16,3,62,1275
900214.0,2,2,5,233
900214.0,11,2,41,1228
900215.0,3,2,9,1143
900215.0,10,2,37,108
900216.0,12,1,44,282
900217.0,15,3,58,233
900218.0,6,1,20,233
900218.0,14,2,53,1228
900219.0,3,3,10,280
900219.0,12,4,47,1273
900220.0,6,2,21,233
900220.0,15,1,56,1228
900221.0,1,4,3,332
900221.0,10,4,39,1324
900222.0,6,3,22,1274
900222.0,15,4,59,233
900223.0,7,4,27,1226
900223.0,11,1,40,186
900224.0,6,3,22,1274
900224.0,15,4,59,233
900225.0,3,4,11,230
900225.0,11,3,42,1225
900226.0,3,1,8,68
900226.0,9,4,35,1072
900226.0,12,3,46,1073
900227.0,6,2,21,1534
900227.0,15,2,57,488
900228.0,8,4,31,281
900228.0,13,4,51,1273
900228.0,16,3,62,1274
900229.0,5,2,17,332
900229.0,14,4,55,1324
900230.0,1,3,2,281
900230.0,10,4,39,1274
900231.0,4,1,12,1274
900231.0,9,1,32,232
900232.0,3,4,11,282
900233.0,2,3,6,280
900233.0,15,2,57,232
900234.0,5,4,19,1274
900234.0,8,3,30,1275
900234.0,13,3,50,233
900235.0,2,4,7,282
900235.0,10,3,38,1275
900236.0,8,4,31,1187
900236.0,13,3,50,148
