,ccd,qid,rcid,field
700000.0,7,2,25,187
700000.0,16,1,60,1185
700001.0,10,2,37,1185
700002.0,5,2,17,1274
700002.0,14,3,54,233
700003.0,6,3,22,232
700003.0,15,4,59,1227
700004.0,3,2,9,1324
700004.0,12,1,44,282
700005.0,8,4,31,1274
700005.0,13,4,51,232
700005.0,16,3,62,233
700006.0,8,1,28,186
700006.0,13,2,49,1183
700007.0,5,3,18,1274
700007.0,14,3,54,233
700008.0,4,4,15,233
700008.0,9,4,35,1227
700009.0,1,3,2,539
700009.0,15,2,57,488
700010.0,1,4,3,232
700010.0,4,3,14,233
700010.0,9,3,34,1227
700011.0,7,1,24,282
700011.0,16,4,63,1275
700012.0,8,2,29,282
700012.0,13,2,49,1274
700013.0,6,1,20,282
700013.0,15,1,56,1275
700014.0,1,4,3,232
700015.0,4,3,14,279
700015.0,12,3,46,1272
700015.0,13,1,48,230
700016.0,2,3,6,487
700016.0,11,3,42,1481
700017.0,2,3,6,1274
700017.0,11,4,43,233
700018.0,8,1,28,1325
700018.0,13,1,48,282
700018.0,16,2,61,283
700019.0,3,4,11,1226
700019.0,11,3,42,186
700019.0,16,1,60,1184
700020.0,2,4,7,281
700021.0,3,3,10,1274
700021.0,12,4,47,233
700022.0,1,1,0,1273
700022.0,4,2,13,1274
700022.0,9,3,34,232
700023.0,3,1,8,1274
700023.0,11,2,41,233
700024.0,6,2,21,1273
700024.0,15,2,57,232
700025.0,12,3,46,1274
700026.0,4,1,12,1274
700026.0,9,1,32,232
700026.0,12,2,45,233
700027.0,5,1,16,1226
700027.0,8,2,29,1227
700027.0,13,4,51,186
700028.0,3,1,8,282
700028.0,11,3,42,1275
700029.0,5,4,19,1766
700030.0,8,4,31,233
700030.0,9,1,32,1227
700030.0,12,2,45,1228
700031.0,10,1,36,1227
700032.0,6,3,22,535
700033.0,5,3,18,232
700033.0,14,4,55,1227
700034.0,7,1,24,1273
700034.0,15,2,57,232
700035.0,5,4,19,1226
700035.0,8,3,30,1227
700035.0,13,3,50,186
700036.0,8,1,28,1228
700036.0,13,1,48,187
700037.0,2,4,7,1102
700037.0,11,4,43,69
700038.0,8,4,31,233
700038.0,13,4,51,1227
700039.0,7,1,24,1084
700039.0,13,1,48,52
700040.0,7,2,25,187
700040.0,16,1,60,1185
700041.0,7,4,27,834
700041.0,14,3,54,1840
700042.0,6,1,20,1374
700043.0,16,3,62,233
700044.0,7,2,25,108
