,ccd,qid,rcid,field
0.0,9,2,33,1274
1.0,7,4,27,1274
1.0,15,3,58,233
2.0,2,2,5,1184
2.0,10,2,37,146
3.0,3,3,10,1481
3.0,12,3,46,436
4.0,7,1,24,281
5.0,6,3,22,1274
5.0,15,4,59,233
6.0,5,2,17,1375
6.0,14,4,55,332
7.0,4,2,13,639
7.0,9,2,33,1635
8.0,2,4,7,1273
8.0,10,3,38,232
9.0,7,2,25,1274
9.0,16,1,60,233
10.0,3,2,9,282
10.0,12,2,45,1275
11.0,1,3,2,1274
11.0,14,2,53,1228
12.0,4,1,12,1376
12.0,9,2,33,332
13.0,8,1,28,233
13.0,13,1,48,1227
14.0,3,2,9,69
15.0,7,4,27,1185
15.0,15,3,58,147
16.0,5,4,19,72
16.0,8,3,30,73
17.0,3,2,9,72
17.0,11,4,43,1076
18.0,1,1,0,281
18.0,4,2,13,282
18.0,9,2,33,1274
19.0,5,2,17,281
19.0,14,1,52,1274
20.0,1,2,1,386
20.0,10,1,36,1379
21.0,7,4,27,1481
21.0,16,4,63,436
22.0,1,3,2,1272
22.0,10,4,39,231
23.0,2,4,7,281
23.0,15,1,56,233
24.0,2,2,5,234
24.0,11,2,41,1229
25.0,7,1,24,1325
26.0,4,4,15,1274
26.0,9,4,35,232
26.0,12,3,46,233
27.0,6,2,21,1324
27.0,15,2,57,282
28.0,3,1,8,1273
28.0,11,3,42,232
29.0,8,4,31,383
29.0,13,3,50,1375
30.0,8,4,31,1274
30.0,13,4,51,232
31.0,1,1,0,281
31.0,4,2,13,282
31.0,9,3,34,1274
32.0,6,3,22,1274
32.0,15,4,59,233
33.0,3,2,9,280
33.0,11,2,41,1273
34.0,6,2,21,1274
34.0,15,4,59,233
35.0,6,1,20,1228
35.0,14,2,53,188
36.0,3,1,8,1274
36.0,12,1,44,233
37.0,3,2,9,282
37.0,12,3,46,1275
38.0,4,2,13,333
38.0,10,1,36,1324
39.0,2,2,5,233
39.0,11,1,40,1228
40.0,2,3,6,1273
40.0,11,4,43,232
40.0,15,2,57,1227
41.0,7,2,25,233
41.0,16,4,63,1228
42.0,7,2,25,282
42.0,16,4,63,1275
43.0,6,1,20,1274
43.0,14,2,53,233
44.0,6,2,21,1274
44.0,15,2,57,233
45.0,6,1,20,1226
45.0,14,4,55,186
46.0,2,4,7,186
46.0,11,4,43,1184
47.0,7,3,26,1376
47.0,16,4,63,333
48.0,8,1,28,108
48.0,16,1,60,1109
49.0,2,2,5,1429
49.0,11,2,41,384
50.0,2,4,7,1323
50.0,11,4,43,281
51.0,1,1,0,1274
51.0,4,2,13,1275
51.0,9,2,33,233
52.0,9,2,33,1274
53.0,10,1,36,108
54.0,2,4,7,332
54.0,6,2,21,1324
54.0,15,2,57,282
55.0,6,3,22,281
55.0,15,4,59,1274
56.0,2,2,5,1143
56.0,10,4,39,108
57.0,2,4,7,1184
57.0,10,3,38,146
58.0,7,2,25,281
58.0,16,1,60,1274
59.0,8,1,28,282
59.0,13,1,48,1274
60.0,1,1,0,278
60.0,4,2,13,279
60.0,12,3,46,1272
61.0,8,4,31,1227
61.0,16,3,62,187
62.0,3,2,9,1325
62.0,12,1,44,283
63.0,1,1,0,281
63.0,4,2,13,282
63.0,9,2,33,1274
64.0,1,2,1,281
64.0,10,1,36,1274
65.0,5,3,18,281
66.0,2,1,4,1274
66.0,10,2,37,233
67.0,4,4,15,1481
67.0,9,4,35,435
68.0,13,4,51,1228
68.0,16,3,62,1229
69.0,7,1,24,233
69.0,16,1,60,1228
70.0,7,1,24,1072
70.0,15,2,57,42
71.0,3,1,8,1143
71.0,10,2,37,108
72.0,1,3,2,281
72.0,14,2,53,233
73.0,2,4,7,1025
73.0,4,3,14,1026
73.0,6,1,20,13
73.0,8,1,28,14
74.0,3,3,10,282
74.0,12,4,47,1275
75.0,6,2,21,1274
75.0,15,4,59,233
76.0,2,1,4,232
76.0,10,2,37,1227
77.0,11,1,40,233
78.0,5,2,17,186
78.0,14,2,53,1184
79.0,5,1,16,231
79.0,13,2,49,1226
80.0,9,1,32,1226
81.0,4,4,15,848
81.0,7,2,25,1856
81.0,15,1,56,825
82.0,3,4,11,281
82.0,11,3,42,1274
83.0,5,4,19,281
83.0,8,3,30,282
84.0,6,1,20,1274
85.0,6,4,23,1184
85.0,14,4,55,146
86.0,11,1,40,282
87.0,5,1,16,232
88.0,8,2,29,639
88.0,13,2,49,1635
89.0,7,2,25,282
89.0,16,4,63,1275
90.0,8,1,28,233
90.0,13,1,48,1227
91.0,5,2,17,281
91.0,14,4,55,1274
92.0,4,4,15,187
92.0,13,2,49,146
93.0,11,2,41,234
94.0,2,3,6,1142
94.0,13,2,49,1108
95.0,5,4,19,1132
95.0,8,3,30,1133
95.0,13,3,50,98
96.0,5,4,19,1274
96.0,8,3,30,1275
97.0,7,1,24,1274
97.0,15,2,57,233
98.0,14,3,54,333
99.0,3,4,11,726
99.0,13,1,48,683
99.0,16,2,61,684
100.0,16,2,61,1275
101.0,5,3,18,281
101.0,14,4,55,1274
102.0,2,2,5,186
102.0,11,1,40,1184
103.0,3,1,8,71
103.0,10,4,39,1075
104.0,6,2,21,1274
104.0,15,1,56,233
105.0,3,4,11,281
105.0,12,4,47,1274
105.0,16,2,61,233
106.0,1,4,3,232
106.0,4,3,14,233
106.0,9,3,34,1227
107.0,6,2,21,232
107.0,15,4,59,1227
108.0,1,2,1,309
108.0,9,4,35,1301
108.0,12,3,46,1302
109.0,8,1,28,282
109.0,13,1,48,1274
110.0,5,2,17,1274
110.0,14,1,52,233
111.0,4,1,12,332
111.0,9,3,34,1323
112.0,9,2,33,169
113.0,7,3,26,1374
113.0,16,4,63,331
114.0,4,1,12,1227
114.0,9,4,35,186
114.0,12,3,46,187
115.0,5,3,18,233
115.0,14,3,54,1228
116.0,2,2,5,282
116.0,11,1,40,1275
117.0,11,2,41,1377
118.0,6,3,22,1274
118.0,15,4,59,233
119.0,11,2,41,1374
120.0,5,2,17,281
120.0,14,1,52,1274
121.0,1,2,1,539
121.0,10,1,36,1534
122.0,1,3,2,1323
122.0,10,4,39,281
122.0,14,2,53,1274
123.0,3,1,8,539
124.0,16,4,63,187
125.0,10,2,37,233
126.0,1,1,0,332
126.0,10,4,39,1324
127.0,4,4,15,233
127.0,13,2,49,187
128.0,3,4,11,1429
129.0,4,1,12,1274
129.0,9,4,35,232
129.0,12,3,46,233
130.0,2,2,5,592
